SMILES,labels
CC[C@H](C)[C@@H](CO)NC(=O)/C=C/[C@](C)([C@H]([C@@H](C)C[C@@H](CC)O)O)OC,2
C[C@H]1[C@@H](CCC2=CC(=O)[C@@H](C[C@]12C)C(=C)C)OC(=O)[C@@H](C)[C@H](/C=C/C=C/C(=O)O)O,2
COC1C(C(OC1C(C(=O)N)OC2C(C(C=C(O2)C(=O)O)O)O)N3C=CC(=O)NC3=O)OC(=O)N,1
C1=CC=C(C=C1)C2=C(NC(=C2C3=CC(=C(C=C3)O)[N+](=O)[O-])N=O)O,1
C[C@]1(CCC[C@]2([C@H]1CC=C3[C@@H]2C[C@]45C(O4)[C@@H]([C@]6(C([C@@]5(C3)O)O6)CO)O)C)CO,2
CCCC1(C(C(C(C2C1(C(=O)C3=C(C2)C=C4C(=C3O)C(=C(C(=C4OC)OC)C5=C(C(=O)C6=C(C5=O)C(=C7C(=C6O)C8C9C(C(C(C(C9(C7=O)O)(O8)CCC)O[C@H]1CCC([C@H](O1)C)O)O)O[C@H]1C[C@H]([C@H]([C@@H](O1)C)O)O)O)OC)O)O)O[C@H]1C[C@H]([C@H]([C@@H](O1)C)O)O)O)O[C@H]1CCC([C@H](O1)C)O[C@H]1CC[C@]([C@@H](O1)C)(C(=O)C)O)O,1
C[C@]12C[C@@H](C[C@H](O1)C3=C(O2)C=C4C(=C3O)C(=O)C5=C(O4)C=CC=C5OC)O,2
CCC(=O)[C@H](C)[C@H]([C@@H](C)C(=O)CC/C(=C\CC(/C(=C/C1=CSC(=N1)C)/C)O)/C)O,1
COC1=CC(=CC(=O)C(=C1O)OC)C(=O)O,2
CC1=CC(=C(C2=C1C(=O)OC3=C(C(=C(C(=C3O2)C)O)O)C)CO)O,2
C1=C2C=C(OC(=O)C2=C(C(=C1O)CO)O)CO,2
CC[C@@H](C)C[C@@H](C)/C=C/[C@@H]1C=C[C@H]([C@H]2[C@@]13C([C@](O2)(OC3=O)C)O)O,2
CC(=CCOC1=CC=C(C=C1)CC(C(=O)O)NC(=O)C)C,2
